Messgroessenname;Aktiv;Abtastrate (ms);Datentyp (SPS);Datentyp (Crawler);Gruppe;Adresse;Tags
TestDWord[3];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB394.0;
TestDWord[4];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB398.0;
TestDWord[5];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB402.0;
TestDWord[6];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB406.0;
TestDWord[7];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB410.0;
TestDWord[8];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB414.0;
TestDWord[9];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB418.0;
TestDWord[10];true;5000;S7_DWord;FLOAT;Arrays;DB100.DBB422.0;
TestInt[0];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB426.0;
TestInt[1];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB428.0;
TestInt[2];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB430.0;
TestInt[3];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB432.0;
TestInt[4];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB434.0;
TestInt[5];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB436.0;
TestInt[6];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB438.0;
TestInt[7];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB440.0;
TestInt[8];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB442.0;
TestInt[9];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB444.0;
TestInt[10];true;5000;S7_Int;FLOAT;Arrays;DB100.DBB446.0;
TestLIInt[0];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB448.0;
TestLIInt[1];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB456.0;
TestLIInt[2];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB464.0;
TestLIInt[3];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB472.0;
TestLIInt[4];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB480.0;
TestLIInt[5];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB488.0;
TestLIInt[6];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB496.0;
TestLIInt[7];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB504.0;
TestLIInt[8];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB512.0;
TestLIInt[9];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB520.0;
TestLIInt[10];true;5000;S7_LInt;FLOAT;Arrays;DB100.DBB528.0;
TestUInt[0];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB536.0;
TestUInt[1];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB538.0;
TestUInt[2];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB540.0;
TestUInt[3];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB542.0;
TestUInt[4];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB544.0;
TestUInt[5];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB546.0;
TestUInt[6];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB548.0;
TestUInt[7];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB550.0;
TestUInt[8];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB552.0;
TestUInt[9];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB554.0;
TestUInt[10];true;5000;S7_UInt;FLOAT;Arrays;DB100.DBB556.0;
TestReal[0];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB558.0;
TestReal[1];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB562.0;
TestReal[2];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB566.0;
TestReal[3];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB570.0;
TestReal[4];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB574.0;
TestReal[5];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB578.0;
TestReal[6];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB582.0;
TestReal[7];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB586.0;
TestReal[8];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB590.0;
TestReal[9];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB594.0;
TestReal[10];true;5000;S7_Real;FLOAT;Arrays;DB100.DBB598.0;
